Frequency	Imp. Mag	Imp. Angle
+1.07470797677732E+002	+1.74631439955136E+001	-3.13274955334502E+001
+1.09209055526525E+002	+1.73224217399691E+001	-3.00435101328160E+001
+1.10975428364824E+002	+1.71890694545661E+001	-2.88037135261076E+001
+1.12770370931053E+002	+1.70702821887285E+001	-2.75939232930027E+001
+1.14594345318681E+002	+1.69606164350373E+001	-2.64400731911836E+001
+1.16447821095188E+002	+1.68644873318259E+001	-2.52714130976259E+001
+1.18331275422944E+002	+1.67710891372191E+001	-2.41771850897766E+001
+1.20245193182059E+002	+1.66954776502395E+001	-2.31256759027903E+001
+1.22190067095204E+002	+1.66246939085723E+001	-2.21063263668186E+001
+1.24166397854464E+002	+1.65654042518660E+001	-2.11377258855843E+001
+1.26174694250236E+002	+1.65052943593150E+001	-2.02650977433067E+001
+1.28215473302209E+002	+1.64483997402733E+001	-1.93487563083817E+001
+1.30289260392471E+002	+1.63969620893328E+001	-1.84703916108676E+001
+1.32396589400763E+002	+1.63532357129113E+001	-1.76435526376920E+001
+1.34538002841924E+002	+1.63041589282557E+001	-1.68293388717957E+001
+1.36714052005550E+002	+1.62698965307517E+001	-1.60079231970190E+001
+1.38925297097929E+002	+1.62394454740191E+001	-1.52466124705545E+001
+1.41172307386254E+002	+1.62064934096272E+001	-1.44841729850101E+001
+1.43455661345180E+002	+1.61759920169297E+001	-1.37481652465475E+001
+1.45775946805746E+002	+1.61524837803254E+001	-1.30273242709952E+001
+1.48133761106707E+002	+1.61353646672988E+001	-1.23055063657495E+001
+1.50529711248318E+002	+1.61186392442585E+001	-1.16339861321838E+001
+1.52964414048594E+002	+1.61030883984650E+001	-1.09911464153304E+001
+1.55438496302113E+002	+1.60918213674449E+001	-1.03546521387224E+001
+1.57952594941372E+002	+1.60851884315765E+001	-9.72908303755585E+000
+1.60507357200766E+002	+1.60819201305794E+001	-9.19118540853998E+000
+1.63103440783210E+002	+1.60674763142203E+001	-8.71400962289163E+000
+1.65741514029458E+002	+1.60484330729068E+001	-8.16049079182734E+000
+1.68422256090166E+002	+1.60281979808393E+001	-7.59176286676159E+000
+1.71146357100731E+002	+1.60189623294273E+001	-6.92583090365343E+000
+1.73914518358962E+002	+1.60275986943963E+001	-6.32487108596668E+000
+1.76727452505622E+002	+1.60398173471520E+001	-5.78232184209572E+000
+1.79585883707894E+002	+1.60586330523149E+001	-5.32911979172019E+000
+1.82490547845809E+002	+1.60655390412885E+001	-5.00814668738276E+000
+1.85442192701696E+002	+1.60456681805130E+001	-4.62105434000487E+000
+1.88441578152688E+002	+1.60425622311726E+001	-4.10180109710459E+000
+1.91489476366350E+002	+1.60414582785580E+001	-3.73190475178997E+000
+1.94586671999467E+002	+1.60194523568230E+001	-3.24479405320859E+000
+1.97733962400045E+002	+1.60227163028132E+001	-2.67647197600847E+000
+2.00932157812583E+002	+1.60445902876193E+001	-2.21395890680081E+000
+2.04182081586668E+002	+1.60549504358534E+001	-1.84639745608736E+000
+2.07484570388930E+002	+1.60551176162567E+001	-1.48561395579512E+000
+2.10840474418446E+002	+1.60570384907480E+001	-1.07357114364988E+000
+2.14250657625609E+002	+1.60566465622609E+001	-7.18300252861072E-001
+2.17715997934551E+002	+1.60528234310884E+001	-3.55519344413451E-001
+2.21237387469152E+002	+1.60385388532349E+001	+8.27159768854612E-002
+2.24815732782712E+002	+1.60483447100854E+001	+6.24848348697177E-001
+2.28451955091338E+002	+1.60536249068328E+001	+1.01150631809675E+000
+2.32146990511103E+002	+1.60692138487847E+001	+1.44610138541755E+000
+2.35901790299039E+002	+1.60798489622482E+001	+1.80494762227220E+000
+2.39717321098031E+002	+1.60798498379549E+001	+2.20858259659137E+000
+2.43594565185673E+002	+1.60838621523799E+001	+2.66226360215576E+000
+2.47534520727150E+002	+1.61007729999466E+001	+3.07243444718916E+000
+2.51538202032201E+002	+1.61100437016503E+001	+3.45842467497281E+000
+2.55606639816247E+002	+1.61238355660135E+001	+3.87862001255133E+000
+2.59740881465746E+002	+1.61371410381908E+001	+4.27935156031266E+000
+2.63941991307827E+002	+1.61493528639927E+001	+4.68850052050693E+000
+2.68211050884297E+002	+1.61655203119246E+001	+5.07498750305850E+000
+2.72549159230069E+002	+1.61830788901760E+001	+5.53715055085908E+000
+2.76957433156110E+002	+1.62077666844482E+001	+5.93013828694128E+000
+2.81437007536946E+002	+1.62408953746538E+001	+6.30302158867253E+000
+2.85989035602829E+002	+1.62687099747776E+001	+6.62185978155985E+000
+2.90614689236629E+002	+1.62963487619552E+001	+6.92325405816556E+000
+2.95315159275522E+002	+1.63212149059758E+001	+7.20115771487906E+000
