Frequency	Imp. Mag	Imp. Angle
+1.45775946805746E+002	+2.18823904857281E+001	-4.60889892470761E+001
+1.48133761106707E+002	+2.16261515835870E+001	-4.47959299134134E+001
+1.50529711248318E+002	+2.13848149968643E+001	-4.35403401773301E+001
+1.52964414048594E+002	+2.11616730375926E+001	-4.22834237101048E+001
+1.55438496302113E+002	+2.09511398572285E+001	-4.10237462183744E+001
+1.57952594941372E+002	+2.07571505106605E+001	-3.97699782488406E+001
+1.60507357200766E+002	+2.05831586689228E+001	-3.84916054607913E+001
+1.63103440783210E+002	+2.04262372396105E+001	-3.73179424132835E+001
+1.65741514029458E+002	+2.02689495914504E+001	-3.62392802863969E+001
+1.68422256090166E+002	+2.01107061894268E+001	-3.51305721872943E+001
+1.71146357100731E+002	+1.99545539330690E+001	-3.39665195856172E+001
+1.73914518358962E+002	+1.98230486419387E+001	-3.27139340479839E+001
+1.76727452505622E+002	+1.97024319537021E+001	-3.15334674461266E+001
+1.79585883707894E+002	+1.96012733988566E+001	-3.03594987925307E+001
+1.82490547845809E+002	+1.95126592985751E+001	-2.92582809278641E+001
+1.85442192701696E+002	+1.94211965998037E+001	-2.82779585991302E+001
+1.88441578152688E+002	+1.93220798865100E+001	-2.71633810290372E+001
+1.91489476366350E+002	+1.92662890765296E+001	-2.60559190170126E+001
+1.94586671999467E+002	+1.91928051735882E+001	-2.52901620406224E+001
+1.97733962400045E+002	+1.90971923517165E+001	-2.42156092948635E+001
+2.00932157812583E+002	+1.90502103288963E+001	-2.31200812817908E+001
+2.04182081586668E+002	+1.90052627617223E+001	-2.21839697100518E+001
+2.07484570388930E+002	+1.89591365835229E+001	-2.13201985013793E+001
+2.10840474418446E+002	+1.89176676366825E+001	-2.04300587861936E+001
+2.14250657625609E+002	+1.88970932449566E+001	-1.96066268161138E+001
+2.17715997934551E+002	+1.88744528976002E+001	-1.89704921367035E+001
+2.21237387469152E+002	+1.88041610717103E+001	-1.85577575576330E+001
+2.24815732782712E+002	+1.87134258337698E+001	-1.73586410041449E+001
+2.28451955091338E+002	+1.87018240880370E+001	-1.67878255669585E+001
+2.32146990511103E+002	+1.86738458616729E+001	-1.58229492527297E+001
+2.35901790299039E+002	+1.86512682377841E+001	-1.51273317950003E+001
+2.39717321098031E+002	+1.85970815255070E+001	-1.45350523858766E+001
+2.43594565185673E+002	+1.85504998167285E+001	-1.36294225999696E+001
+2.47534520727150E+002	+1.85334808242857E+001	-1.29952992649878E+001
+2.51538202032201E+002	+1.84698977976580E+001	-1.22237570210141E+001
+2.55606639816247E+002	+1.84499521376965E+001	-1.11955200752961E+001
+2.59740881465746E+002	+1.84620653329852E+001	-1.05092903529195E+001
+2.63941991307827E+002	+1.84380861280812E+001	-9.93351995511478E+000
+2.68211050884297E+002	+1.83957627032567E+001	-9.11081260904538E+000
+2.72549159230069E+002	+1.83941659878140E+001	-8.30406091395759E+000
+2.76957433156110E+002	+1.83889586422063E+001	-7.49675615106120E+000
+2.81437007536946E+002	+1.83956603947149E+001	-6.77951342490197E+000
+2.85989035602829E+002	+1.83970855581944E+001	-6.09012760684677E+000
+2.90614689236629E+002	+1.84077434304027E+001	-5.40042248845276E+000
+2.95315159275522E+002	+1.84218663636730E+001	-4.81084266694358E+000
+3.00091655817564E+002	+1.84183649181464E+001	-4.32117622083889E+000
+3.04945408533221E+002	+1.83962580741483E+001	-3.63847179981914E+000
+3.09877666981937E+002	+1.84063931755683E+001	-2.89800811961478E+000
+3.14889700933823E+002	+1.84293816420041E+001	-2.21442027091515E+000
+3.19982800696547E+002	+1.84562341041239E+001	-1.75650698581560E+000
+3.25158277447519E+002	+1.84469942079882E+001	-1.27174083307971E+000
+3.30417463571437E+002	+1.84497067707589E+001	-6.96363945106920E-001
+3.35761713003303E+002	+1.84394092370641E+001	-1.25315980969167E-001
+3.41192401576977E+002	+1.84379761846552E+001	+5.76470572061984E-001
+3.46710927379383E+002	+1.84658447199312E+001	+1.27819287084535E+000
+3.52318711110427E+002	+1.84800754761845E+001	+1.80748156128143E+000
+3.58017196448748E+002	+1.85011243714952E+001	+2.39642786409061E+000
+3.63807850423385E+002	+1.85080367321484E+001	+2.95229837720531E+000
+3.69692163791442E+002	+1.85312821576392E+001	+3.50811875684053E+000
+3.75671651421885E+002	+1.85328709558144E+001	+4.09540976870776E+000
+3.81747852685518E+002	+1.85559883558044E+001	+4.71244702114353E+000
+3.87922331851293E+002	+1.85836105971937E+001	+5.31735614465541E+000
+3.94196678489015E+002	+1.86151615775928E+001	+5.87138284013413E+000
+4.00572507878561E+002	+1.86302257544482E+001	+6.39272917594201E+000
+4.07051461425724E+002	+1.86590828988027E+001	+7.00557480788045E+000
+4.13635207084779E+002	+1.86844184590145E+001	+7.53442039386216E+000
+4.20325439787883E+002	+1.87146468989452E+001	+8.11567593396275E+000
+4.27123881881423E+002	+1.87577673966866E+001	+8.70200883179512E+000
+4.34032283569420E+002	+1.87874374552014E+001	+9.14843867964673E+000
+4.41052423364106E+002	+1.88068823300997E+001	+9.55570769346273E+000
+4.48186108543784E+002	+1.88342917350933E+001	+1.02461249590677E+001
+4.55435175618101E+002	+1.88637505014585E+001	+1.08150646148829E+001
+4.62801490800840E+002	+1.89002718466871E+001	+1.14060287061890E+001
+4.70286950490363E+002	+1.89472097011184E+001	+1.20519567629454E+001
+4.77893481757826E+002	+1.90037191447917E+001	+1.26500277198072E+001
