Frequency	Imp. Mag	Imp. Angle
+6.64117778232225E+001	+1.92084917799467E+001	+2.77066879052911E+001
+6.74859374698241E+001	+1.92669588639445E+001	+2.82755860085349E+001
+6.85774708260930E+001	+1.93173840616552E+001	+2.88498595955039E+001
+6.96866588984778E+001	+1.93813030250918E+001	+2.94407664729314E+001
+7.08137872384914E+001	+1.94559709383118E+001	+3.00575459649882E+001
+7.19591460162235E+001	+1.95246461173996E+001	+3.07327712932988E+001
+7.31230300950429E+001	+1.96014197660464E+001	+3.13121930520400E+001
+7.43057391075077E+001	+1.96765536239526E+001	+3.19062610080510E+001
+7.55075775325029E+001	+1.97610941575760E+001	+3.25386273934085E+001
+7.67288547736265E+001	+1.98383957312796E+001	+3.31846116409877E+001
+7.79698852388427E+001	+1.99202601965312E+001	+3.39024644722806E+001
+7.92309884214237E+001	+2.00256618259117E+001	+3.46651721935246E+001
+8.05124889822006E+001	+2.01247479685830E+001	+3.53819737252505E+001
+8.18147168331452E+001	+2.02257975429381E+001	+3.60702724084713E+001
+8.31380072223022E+001	+2.03181500299076E+001	+3.69494420563177E+001
+8.44827008200972E+001	+2.04441526845526E+001	+3.78145631765313E+001
+8.58491438070388E+001	+2.05731529263760E+001	+3.87433137314201E+001
+8.72376879628403E+001	+2.07227666507218E+001	+3.96851703942303E+001
+8.86486907569824E+001	+2.08727819067087E+001	+4.06733396249617E+001
+9.00825154407409E+001	+2.10498542849710E+001	+4.15521833477093E+001
+9.15395311407027E+001	+2.12264430488671E+001	+4.25948555391827E+001
+9.30201129537948E+001	+2.14230609254232E+001	+4.36495288436131E+001
+9.45246420438496E+001	+2.16471548688383E+001	+4.46343857291922E+001
+9.60535057397325E+001	+2.18886557581920E+001	+4.57278033032138E+001
+9.76070976350569E+001	+2.21489773335461E+001	+4.68144150104403E+001
+9.91858176895112E+001	+2.24359151644490E+001	+4.78644774749247E+001
+1.00790072331826E+002	+2.27905982154345E+001	+4.86986098937620E+001
+1.02420274564404E+002	+2.30873209720706E+001	+4.90336590973632E+001
