Frequency	Imp. Mag	Imp. Angle
+7.67288547736265E+001	+1.76852918405699E+001	+3.23997116375580E+001
+7.79698852388427E+001	+1.78146673029992E+001	+3.38777878183587E+001
+7.92309884214237E+001	+1.80170907030690E+001	+3.52494152851231E+001
+8.05124889822006E+001	+1.82031469606475E+001	+3.65181062866738E+001
+8.18147168331452E+001	+1.84174851874982E+001	+3.81070220439590E+001
+8.31380072223022E+001	+1.86805773804978E+001	+3.96836645057541E+001
+8.44827008200972E+001	+1.90054614558725E+001	+4.13685996369716E+001
+8.58491438070388E+001	+1.93865906738147E+001	+4.29639980262607E+001
+8.72376879628403E+001	+1.98198291901528E+001	+4.44797132897332E+001
+8.86486907569824E+001	+2.03305096459936E+001	+4.58864756339163E+001
+9.00825154407409E+001	+2.08677833435638E+001	+4.72387873702970E+001
+9.15395311407027E+001	+2.15125069932384E+001	+4.87345939967326E+001
+9.30201129537948E+001	+2.22846634128118E+001	+4.97591980118267E+001
+9.45246420438496E+001	+2.31867637331553E+001	+5.05015789840032E+001
+9.60535057397325E+001	+2.42655915765684E+001	+5.05500792702265E+001
+9.76070976350569E+001	+2.55230967926944E+001	+4.91258842477558E+001
+9.91858176895112E+001	+2.69356923982361E+001	+4.61695937953056E+001
+1.00790072331826E+002	+2.91425650960086E+001	+3.76991490988749E+001
+1.02420274564404E+002	+2.99512364010117E+001	+2.37677458165607E+001
+1.04076844069647E+002	+3.03548428822885E+001	+1.65965007508112E+001
+1.05760207317998E+002	+3.19756184852344E+001	-6.63227178947193E-001
+1.07470797677732E+002	+3.03688802942503E+001	-2.39371767597533E+001
+1.09209055526525E+002	+2.83535151151082E+001	-2.86189825216724E+001
+1.10975428364824E+002	+2.74110445231397E+001	-3.40872958826568E+001
+1.12770370931053E+002	+2.65686937643609E+001	-3.77732015254910E+001
+1.14594345318681E+002	+2.49573661076942E+001	-4.49634749937852E+001
+1.16447821095188E+002	+2.31911333203128E+001	-4.41159627803570E+001
+1.18331275422944E+002	+2.25867639543126E+001	-3.57276311532984E+001
+1.20245193182059E+002	+2.28712345854498E+001	-3.95503464475904E+001
+1.22190067095204E+002	+2.14415285204671E+001	-4.56704401270804E+001
+1.24166397854464E+002	+2.06010296168399E+001	-3.52813562529002E+001
+1.26174694250236E+002	+2.06734426778543E+001	-3.78795173954640E+001
+1.28215473302209E+002	+2.03200112456968E+001	-4.00895724525656E+001
+1.30289260392471E+002	+1.92571835627505E+001	-4.06471436196527E+001
+1.32396589400763E+002	+1.85094885444433E+001	-3.53730511707452E+001
+1.34538002841924E+002	+1.83374720407483E+001	-3.32044566783629E+001
+1.36714052005550E+002	+1.80673727571717E+001	-3.20942943823708E+001
+1.38925297097929E+002	+1.77021239896671E+001	-2.97681050821153E+001
+1.41172307386254E+002	+1.75261866389258E+001	-2.82915393200775E+001
+1.43455661345180E+002	+1.73062651352838E+001	-2.63776433961678E+001
+1.45775946805746E+002	+1.71217148344501E+001	-2.48096236050272E+001
+1.48133761106707E+002	+1.69223287540965E+001	-2.28818795497666E+001
+1.50529711248318E+002	+1.68870224259829E+001	-2.11446120369406E+001
+1.52964414048594E+002	+1.68566424017409E+001	-2.01543374367575E+001
+1.55438496302113E+002	+1.67328467850285E+001	-1.91701845280343E+001
+1.57952594941372E+002	+1.66412204525907E+001	-1.81480086454483E+001
+1.60507357200766E+002	+1.65246946380082E+001	-1.66725771291723E+001
+1.63103440783210E+002	+1.65107369755035E+001	-1.57329477876428E+001
+1.65741514029458E+002	+1.64078957138456E+001	-1.49431093818497E+001
+1.68422256090166E+002	+1.63117197635579E+001	-1.34426247233388E+001
+1.71146357100731E+002	+1.63259621620805E+001	-1.21560646720207E+001
+1.73914518358962E+002	+1.63618049209222E+001	-1.13161354007897E+001
+1.76727452505622E+002	+1.63499723969243E+001	-1.08684936246831E+001
+1.79585883707894E+002	+1.62654053166634E+001	-1.02668031145419E+001
+1.82490547845809E+002	+1.62221694397911E+001	-9.05739667368547E+000
+1.85442192701696E+002	+1.62509795668993E+001	-8.23307880100144E+000
+1.88441578152688E+002	+1.62774219231483E+001	-7.77853047995108E+000
+1.91489476366350E+002	+1.62370316361672E+001	-7.20906071868817E+000
+1.94586671999467E+002	+1.62068709658694E+001	-6.65501238205964E+000
+1.97733962400045E+002	+1.61830954687697E+001	-5.75936189511355E+000
+2.00932157812583E+002	+1.61744247414289E+001	-5.10554698679619E+000
+2.04182081586668E+002	+1.62325489641188E+001	-4.51390818220705E+000
+2.07484570388930E+002	+1.61628436797063E+001	-4.16795718914791E+000
+2.10840474418446E+002	+1.61560168702112E+001	-3.21728718479528E+000
+2.14250657625609E+002	+1.62207041140271E+001	-2.55155968839747E+000
+2.17715997934551E+002	+1.62439529825265E+001	-2.30624604699721E+000
+2.21237387469152E+002	+1.62370839818301E+001	-2.05516720917846E+000
+2.24815732782712E+002	+1.62259976689964E+001	-1.68159592789080E+000
+2.28451955091338E+002	+1.62094302893586E+001	-9.79275220526788E-001
+2.32146990511103E+002	+1.62283602266653E+001	-7.71577134849749E-001
+2.35901790299039E+002	+1.62133311022575E+001	-9.06263600979551E-002
+2.39717321098031E+002	+1.62191209475527E+001	+2.29818374894344E-001
+2.43594565185673E+002	+1.62061901760159E+001	+6.21057424593219E-001
+2.47534520727150E+002	+1.62076966882056E+001	+1.13241927775655E+000
+2.51538202032201E+002	+1.61938379025560E+001	+1.67153498942888E+000
+2.55606639816247E+002	+1.62110157253645E+001	+2.13749800872704E+000
+2.59740881465746E+002	+1.61918805583707E+001	+2.71205630477694E+000
